"","Lake_name","Invasion_category","Sample_type","Sample_origin","Collected_year","Collected_month_number","Littoral_zoobenthic_macroinvert_community_sample","Transect","Lat","Long","Sample_depth","Total_count","Vial_count","Functional_feeding_group","Method_of_take","real.name","Functional_group","Common_name","Scientific_name","Total_length_mm","Weight_g","Tube_box","Tube_ID","Tube_size_ml","Preservative","Isotope.sample.weight..mg.","Davis_ID_long","d13C","Total.C..µg.","d15N","Total.N..µg.","Type.of.Material","Sample.Weight..mg..from.Sample.List","Internal.ID","Lake_max_depth_m","Lake_surface_elev_m","Current_conversion","Secchi_m","Surface_area_ha","n","d13C_baseline","d13C_base_se","d15N_baseline","d15N_base_se","d13C_corr","d15N_corr"
"796","Logging","Mid","Fish","Autochthonous",2018,6,"NO",NA,NA,NA,NA,1,1,NA,"Hook and line","Cutthroat trout","Generalist fish","Cutthroat trout","Oncorhynchus clarkii lewisi",338,333,"2018-A","ACV","1.5","Ethanol",0.987,"BRAVO-F-01",-27.91,481.11,7.91,152.07,"Fish",0.987,1667963,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-6.758,6.924666667
"797","Logging","Mid","Invertebrate","Autochthonous",2018,7,"YES",5,"48.77667","-114.023982",0.5,1,1,"Engulfer-predator-shredder-herbivore-collector-gatherer","D-net","Leptoceridae","Littoral forage Invertebrate","Longhorned case maker caddisfly","Leptoceridae",NA,NA,"2018-K","KCK","1.5","Ethanol",0.606,"ECHO-H-01",-25.26,270.99,1.91,70.29,"Invertebrate",0.606,1668275,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-4.108,0.924666667
"798","Logging","Mid","Invertebrate","Autochthonous",2018,6,"NO",NA,"48.764282","-114.056557",5,NA,NA,"Filterer-collector-phytoplanktivore","Zooplankton tow","Zooplankton","Pelagic forage Invertebrate","Zooplankton","Zooplankton",NA,NA,"2018-50ml-2","BDZ","50","Water",0.769,"FOXTROT-E-03",-31.36,308.49,2.03,20.59,"Invertebrate",0.769,1668337,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-10.208,1.044666667
"799","Logging","Mid","Invertebrate","Autochthonous",2018,7,"NO",6,"48.749172","-114.086128",5,NA,NA,"Filterer-collector-phytoplanktivore","Zooplankton tow","Zooplankton","Pelagic forage Invertebrate","Zooplankton","Zooplankton",NA,NA,"2018-50ml-2","JZA","50","Water",0.949,"GOLF-C-01",-30.47,273.15,2.47,27.48,"Plant",0.949,1668407,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-9.318,1.484666667
"800","Logging","Mid","Fish","Autochthonous",2018,6,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net USGS","Largescale sucker","Littoral forage fish","Largescale sucker","Catostomus macrocheilus",308,263,"2018-A","ACQ","1.5","Ethanol",0.997,"BRAVO-C-09",-26.04,490.6,9,147.98,"Fish",0.997,1667935,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-4.888,8.014666667
"801","Logging","Mid","Invertebrate","Autochthonous",2018,6,"YES",4,"48.768725","-114.029573",0.5,4,4,"Collector-gatherer-engulfer","D-net","Naididae","Littoral forage Invertebrate","Oligochaete worm","Naididae",NA,NA,"2018-B","BBY","1.5","Ethanol",1.061,"CHARLIE-A-10",-22.39,461.26,0.74,111.33,"Invertebrate",1.061,1668008,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-1.238,-0.245333333
"802","Logging","Mid","Invertebrate","Autochthonous",2018,9,"YES",6,"48.749172","-114.086128",0.5,1,1,"Scraper-collector-gatherer","D-net","Lymnaeidae","Littoral forage Invertebrate","Lymnaeid snail","Lymnaeidae",NA,NA,"2018-15ml-1","QZM","15","Ethanol",0.926,"FOXTROT-F-10",-14.52,389.08,-0.51,97.24,"Invertebrate",0.926,1668356,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,6.632,-1.495333333
"803","Logging","Mid","Invertebrate","Autochthonous",2018,7,"YES",3,"48.769206","-114.045795",1.5,1,1,"Engulfer-predator","D-net","Coenagrionidae","Littoral forage Invertebrate","Narrow-winged damselfly","Coenagrionidae",NA,NA,"2018-K","KBD","1.5","Ethanol",0.401,"ALPHA-E-04",-20.37,190.04,2.77,52.94,"Invertebrate",0.401,1667858,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,0.782,1.784666667
"804","Logging","Mid","Fish","Autochthonous",2018,6,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net USGS","Lake trout","Lake trout","Lake trout","Salvelinus namaycush",209,63,"2018-A","ABX","1.5","Ethanol",0.938,"BRAVO-E-05",-26.13,345.99,10.95,110.75,"Fish",0.938,1667955,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-4.978,9.964666667
"805","Logging","Mid","Invertebrate","Allochthonous",2018,9,"NO",2,"48.757773","-114.067073",0.5,2,2,"Piercer-predator","D-net","Lepidoptera","Allochthonous forage Invertebrate","Moth","Lepidoptera",NA,NA,"2018-Q","QBA","1.5","Water",1.05,"FOXTROT-B-11",-24.61,531.81,0.41,124.68,"Plant",1.05,1668309,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-3.458,-0.575333333
"806","Logging","Mid","Invertebrate","Autochthonous",2018,6,"YES",7,"48.749625","-114.087415",0.5,2,2,"Collector-filterer-engulfer-predator","D-net","Polycentropodidae","Littoral forage Invertebrate","Trumpetnet caddisfly","Polycentropodidae",NA,NA,"2018-C","CBF","1.5","Ethanol",0.64,"CHARLIE-E-11",-25.84,299.18,4.46,83.11,"Invertebrate",0.64,1668057,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-4.688,3.474666667
"807","Logging","Mid","Invertebrate","Autochthonous",2018,6,"YES",7,"48.749625","-114.087415",0.5,1,1,"Engulfer-predator","D-net","Aeshnidae","Littoral forage Invertebrate","Darner dragonfly","Aeshnidae",NA,NA,"2018-C","CBJ","1.5","Ethanol",0.935,"CHARLIE-E-12",-22.94,443.82,2.24,105.85,"Invertebrate",0.935,1668058,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-1.788,1.254666667
"808","Logging","Mid","Invertebrate","Autochthonous",2018,6,"YES",5,"48.77667","-114.023982",1.5,1,1,"Collector-gatherer-scraper","D-net","Chironomidae_w","Littoral forage Invertebrate","Midge","Chironomidae_w",NA,NA,"2018-C","CAH","1.5","Ethanol",1.017,"CHARLIE-B-09",-23.4,479.9,2.41,124.04,"Invertebrate",1.017,1668019,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-2.248,1.424666667
"809","Logging","Mid","Invertebrate","Autochthonous",2018,7,"YES",2,"48.757773","-114.067073",0.5,3,3,"Engulfer-predator","D-net","Libellulidae","Littoral forage Invertebrate","Skimmer dragonfly","Libellulidae",NA,NA,"2018-15ml-2","JXD","15","Ethanol",1.037,"ECHO-G-08",-23.52,436.87,2.46,92.36,"Invertebrate",1.037,1668270,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-2.368,1.474666667
"810","Logging","Mid","Periphyton","Autochthonous",2018,9,"NO",6,"48.749172","-114.086128",0.5,NA,NA,NA,"Brush","Periphyton","Littoral forage Periphyton","Periphyton","Periphyton",NA,NA,"2018-15ml-1","QEN","15","Water",9.904,"FOXTROT-G-02",-18.31,1491.24,-0.57,111.57,"Plant",9.904,1668360,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,2.842,-1.555333333
"811","Logging","Mid","Invertebrate","Autochthonous",2018,6,"YES",3,"48.769206","-114.045795",1.5,1,1,"Collector-gatherer-engulfer","D-net","Naididae","Littoral forage Invertebrate","Oligochaete worm","Naididae",NA,NA,"2018-B","BBN","1.5","Ethanol",0.856,"CHARLIE-A-09",-20.73,397.51,0.79,100.88,"Invertebrate",0.856,1668007,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,0.422,-0.195333333
"812","Logging","Mid","Invertebrate","Autochthonous",2018,6,"YES",4,"48.768725","-114.029573",1,3,3,"Piercer-herbivore-scraper","D-net","Hydroptilidae","Littoral forage Invertebrate","Micro caddisfly","Hydroptilidae",NA,NA,"2018-B","BCK","1.5","Ethanol",0.977,"CHARLIE-B-01",-19.19,449.4,2.27,117.21,"Invertebrate",0.977,1668011,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,1.962,1.284666667
"813","Logging","Mid","Invertebrate","Autochthonous",2018,9,"NO",NA,"48.768725","-114.029573",5,NA,NA,"Filterer-collector-phytoplanktivore","Zooplankton tow","Zooplankton","Pelagic forage Invertebrate","Zooplankton","Zooplankton",NA,NA,"2018-50ml-1","QEP","50","Water",1.03,"FOXTROT-G-05",-29.27,325.82,1.61,33.09,"Plant",1.03,1668363,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-8.118,0.624666667
"814","Logging","Mid","Invertebrate","Autochthonous",2018,6,"NO",NA,"48.764282","-114.056557",5,NA,NA,"Filterer-collector-phytoplanktivore","Zooplankton tow","Zooplankton","Pelagic forage Invertebrate","Zooplankton","Zooplankton",NA,NA,"2018-50ml-2","BDY","50","Water",1.086,"FOXTROT-D-12",-30.61,201.3,2.48,14.72,"Invertebrate",1.086,1668334,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-9.458,1.494666667
"815","Logging","Mid","Invertebrate","Autochthonous",2018,6,"YES",3,"48.769206","-114.045795",0.5,1,1,"Scraper-collector-gatherer","D-net","Planorbidae","Littoral forage Invertebrate","Planorbid snail","Planorbidae",NA,NA,"2018-15ml-2","BMZ","15","Ethanol",0.988,"GOLF-A-11",-15.33,340.16,-0.01,72.18,"Invertebrate",0.988,1668393,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,5.822,-0.995333333
"816","Logging","Mid","Fish","Autochthonous",2018,6,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net USGS","Lake trout","Lake trout","Lake trout","Salvelinus namaycush",234,88,"2018-A","ABV","1.5","Ethanol",0.998,"BRAVO-E-02",-25.66,467.3,11.84,149.49,"Fish",0.998,1667952,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-4.508,10.85466667
"817","Logging","Mid","Invertebrate","Autochthonous",2018,9,"YES",1,"48.763827","-114.069133",1.5,1,1,"Collector-filterer-engulfer-predator","D-net","Polycentropodidae","Littoral forage Invertebrate","Trumpetnet caddisfly","Polycentropodidae",NA,NA,"2018-Q","QAU","1.5","Ethanol",0.428,"FOXTROT-D-04",-20.51,205.6,2.61,51.25,"Invertebrate",0.428,1668326,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,0.642,1.624666667
"818","Logging","Mid","Invertebrate","Autochthonous",2018,6,"YES",5,"48.77667","-114.023982",1,1,1,"Piercer-predator","D-net","Hirudinea","Littoral forage Invertebrate","Leech","Hirudinea",NA,NA,"2018-C","CAC","1.5","Ethanol",0.798,"CHARLIE-B-05",-24.81,382.3,4.72,103.15,"Invertebrate",0.798,1668015,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-3.658,3.734666667
"819","Logging","Mid","Invertebrate","Autochthonous",2018,6,"YES",5,"48.77667","-114.023982",1.5,1,1,"Collector-filterer-engulfer-predator","D-net","Polycentropodidae","Littoral forage Invertebrate","Trumpetnet caddisfly","Polycentropodidae",NA,NA,"2018-C","CAE","1.5","Ethanol",1.098,"CHARLIE-B-06",-26.5,534.05,2.27,128.49,"Invertebrate",1.098,1668016,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-5.348,1.284666667
"820","Logging","Mid","Invertebrate","Autochthonous",2018,6,"YES",6,"48.749172","-114.086128",0.5,1,1,"Collector-filterer-engulfer-predator","D-net","Polycentropodidae","Littoral forage Invertebrate","Trumpetnet caddisfly","Polycentropodidae",NA,NA,"2018-C","CAQ","1.5","Ethanol",0.887,"CHARLIE-B-08",-24.27,411.96,3.27,106.39,"Invertebrate",0.887,1668018,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-3.118,2.284666667
"821","Logging","Mid","Invertebrate","Autochthonous",2018,7,"YES",3,"48.769206","-114.045795",0.5,1,1,"Scraper-collector-gatherer","D-net","Lymnaeidae","Littoral forage Invertebrate","Lymnaeid snail","Lymnaeidae",NA,NA,"2018-15ml-2","KXB","15","Ethanol",0.98,"GOLF-B-12",-18.37,360.54,-0.07,91.31,"Invertebrate",0.98,1668406,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,2.782,-1.055333333
"822","Logging","Mid","Invertebrate","Autochthonous",2018,7,"YES",1,"48.763827","-114.069133",1,2,2,"Collector-gather-scraper","D-net","Caenidae","Littoral forage Invertebrate","Squaregill mayfly","Caenidae",NA,NA,"2018-J","JAV","1.5","Ethanol",0.674,"ALPHA-D-03",-17.6,312.42,0.12,78.92,"Invertebrate",0.674,1667845,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,3.552,-0.865333333
"823","Logging","Mid","Invertebrate","Autochthonous",2018,7,"YES",2,"48.757773","-114.067073",1.5,1,1,"Engulfer-predator-shredder-herbivore-collector-gatherer","D-net","Leptoceridae","Littoral forage Invertebrate","Longhorned case maker caddisfly","Leptoceridae",NA,NA,"2018-J","JCC","1.5","Ethanol",0.489,"ECHO-G-09",-23.03,221.8,2.51,56.41,"Invertebrate",0.489,1668271,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-1.878,1.524666667
"824","Logging","Mid","Invertebrate","Autochthonous",2019,8,"YES",NA,"48.735076","-114.135247",0.5,1,1,"Collector-gatherer-scraper","D-net","Physidae","Littoral forage Invertebrate","Physid snail","Physidae",NA,NA,"2019-15-1","19-002","15","Ethanol",1.029,"HOTEL-E-05",-20.85,385.99,1.94,115.18,"Invertebrate",1.029,1668531,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,0.302,0.954666667
"825","Logging","Mid","Fish","Autochthonous",2018,6,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net USGS","Largescale sucker","Littoral forage fish","Largescale sucker","Catostomus macrocheilus",318,342,"2018-A","ACO","1.5","Ethanol",1.034,"BRAVO-C-08",-24.83,506.47,7.56,149.65,"Fish",1.034,1667934,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-3.678,6.574666667
"826","Logging","Mid","Invertebrate","Autochthonous",2018,9,"YES",7,"48.749625","-114.087415",0.5,1,1,"Scraper-collector-gatherer","D-net","Lymnaeidae","Littoral forage Invertebrate","Lymnaeid snail","Lymnaeidae",NA,NA,"2018-15ml-1","QZF","15","Ethanol",0.951,"FOXTROT-F-11",-17.66,392.66,-0.4,78.44,"Invertebrate",0.951,1668357,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,3.492,-1.385333333
"827","Logging","Mid","Periphyton","Autochthonous",2018,6,"NO",6,"48.749172","-114.086128",1,NA,NA,NA,"Brush","Periphyton","Littoral forage Periphyton","Periphyton","Periphyton",NA,NA,"2018-15ml-2","BXV","15","Water",9.987,"ECHO-F-03",-22.34,2268.63,0.5,142.5,"Plant",9.987,1668253,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-1.188,-0.485333333
"828","Logging","Mid","Periphyton","Autochthonous",2018,7,"NO",NA,"48.753191","-114.096921",5,NA,NA,NA,"Brush","Periphyton","Littoral forage Periphyton","Periphyton","Periphyton",NA,NA,"2018-15ml-2","JZI","15","Water",10.016,"ECHO-H-07",-22.75,401.22,0.52,35.43,"Invertebrate",10.016,1668281,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-1.598,-0.465333333
"829","Logging","Mid","Invertebrate","Autochthonous",2018,6,"YES",7,"48.749625","-114.087415",1,1,1,"Scraper-collector-gatherer","D-net","Planorbidae","Littoral forage Invertebrate","Planorbid snail","Planorbidae",NA,NA,"2018-C","CBS","1.5","Ethanol",0.327,"ECHO-F-04",-18.38,131.42,0.64,32.97,"Invertebrate",0.327,1668254,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,2.772,-0.345333333
"830","Logging","Mid","Invertebrate","Autochthonous",2018,9,"NO",NA,"48.768725","-114.029573",5,NA,NA,"Filterer-collector-phytoplanktivore","Zooplankton tow","Zooplankton","Pelagic forage Invertebrate","Zooplankton","Zooplankton",NA,NA,"2018-50ml-1","QEQ","50","Water",1.067,"FOXTROT-G-01",-29.09,331.68,1.43,29.9,"Invertebrate",1.067,1668359,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-7.938,0.444666667
"831","Logging","Mid","Invertebrate","Autochthonous",2018,9,"YES",5,"48.77667","-114.023982",1,1,1,"Shredder-herbivore-detritivore-engulfer-predator","D-net","Phryganeidae","Littoral forage Invertebrate","Giant case maker caddisfly","Phryganeidae",NA,NA,"2018-R","RAM","1.5","Ethanol",0.978,"FOXTROT-D-05",-17.06,449.52,-3.35,117.54,"Invertebrate",0.978,1668327,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,4.092,-4.335333333
"832","Logging","Mid","Fish","Autochthonous",2018,6,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net USGS","Lake trout","Lake trout","Lake trout","Salvelinus namaycush",214,58,"2018-A","ABZ","1.5","Ethanol",0.963,"BRAVO-E-04",-24.51,459.55,11.33,147.31,"Fish",0.963,1667954,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-3.358,10.34466667
"833","Logging","Mid","Invertebrate","Autochthonous",2018,7,"YES",1,"48.763827","-114.069133",1,1,1,"Engulfer-predator-shredder-herbivore-shredder-detritivore-scraper","D-net","Rhyacophilidae","Littoral forage Invertebrate","Freeliving caddisfly","Rhyacophilidae",NA,NA,"2018-J","JAS","1.5","Ethanol",0.659,"ALPHA-D-02",-20.94,310.09,2.9,81.56,"Invertebrate",0.659,1667844,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,0.212,1.914666667
"834","Logging","Mid","Periphyton","Autochthonous",2018,6,"NO",5,"48.77667","-114.023982",0.5,NA,NA,NA,"Brush","Periphyton","Littoral forage Periphyton","Periphyton","Periphyton",NA,NA,"2018-15ml-2","BMD","15","Water",4.763,"GOLF-B-09",-26.89,349.79,2.88,27.27,"Plant",4.763,1668403,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-5.738,1.894666667
"835","Logging","Mid","Periphyton","Autochthonous",2018,9,"NO",6,"48.749172","-114.086128",0.5,NA,NA,NA,"Brush","Periphyton","Littoral forage Periphyton","Periphyton","Periphyton",NA,NA,"2018-15ml-1","QEO","15","Water",9.918,"FOXTROT-G-04",-14.94,2090.58,-0.21,128.31,"Plant",9.918,1668362,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,6.212,-1.195333333
"836","Logging","Mid","Invertebrate","Autochthonous",2018,6,"YES",3,"48.769206","-114.045795",1,1,1,"Engulfer-predator","D-net","Aeshnidae","Littoral forage Invertebrate","Darner dragonfly","Aeshnidae",NA,NA,"2018-15ml-2","BZX","15","Ethanol",0.96,"GOLF-B-03",-22.8,481.9,3.74,115.35,"Invertebrate",0.96,1668397,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-1.648,2.754666667
"837","Logging","Mid","Invertebrate","Autochthonous",2018,6,"NO",NA,"48.764282","-114.056557",5,NA,NA,"Filterer-collector-phytoplanktivore","Zooplankton tow","Zooplankton","Pelagic forage Invertebrate","Zooplankton","Zooplankton",NA,NA,"2018-50ml-2","BDQ","50","Water",0.793,"FOXTROT-E-02",-31.52,249.96,1.94,20.23,"Invertebrate",0.793,1668336,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-10.368,0.954666667
"838","Logging","Mid","Fish","Autochthonous",2019,8,"NO",NA,"48.735221","-114.137075",NA,1,1,NA,"Electrofisher","Slimy sculpin","Generalist fish","Slimy sculpin","Cottus cognatus",59,3.1,"2019-AD","ADBI","1.5","Ethanol",0.92,"OSCAR-C-04",-31.66,548.05,5.69,94.64,"Fish",0.92,1669178,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-10.508,4.704666667
"839","Logging","Mid","Invertebrate","Autochthonous",2018,7,"NO",NA,"48.740588","-114.130029",5,NA,NA,"Filterer-collector-phytoplanktivore","Zooplankton tow","Zooplankton","Pelagic forage Invertebrate","Zooplankton","Zooplankton",NA,NA,"2018-50ml-2","JZC","50","Water",0.399,"GOLF-C-03",-32.95,130.58,2.7,13.53,"Plant",0.399,1668409,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-11.798,1.714666667
"840","Logging","Mid","Invertebrate","Allochthonous",2018,9,"NO",1,"48.763827","-114.069133",1.5,1,1,"Piercer-predator","D-net","Lepidoptera","Allochthonous forage Invertebrate","Moth","Lepidoptera",NA,NA,"2018-Q","QAY","1.5","Water",0.952,"FOXTROT-B-10",-27.44,450.84,0.97,108.74,"Plant",0.952,1668308,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-6.288,-0.015333333
"841","Logging","Mid","Invertebrate","Autochthonous",2018,6,"NO",NA,"48.764282","-114.056557",5,NA,NA,"Filterer-collector-phytoplanktivore","Zooplankton tow","Zooplankton","Pelagic forage Invertebrate","Zooplankton","Zooplankton",NA,NA,"RM","BDX","Whirl pak","Water",0.733,"GOLF-A-10",-29.84,231.89,3.03,28.95,"Invertebrate",0.733,1668392,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-8.688,2.044666667
"842","Logging","Mid","Invertebrate","Autochthonous",2018,6,"YES",7,"48.749625","-114.087415",1,1,1,"Collector-gatherer-scraper","D-net","Physidae","Littoral forage Invertebrate","Physid snail","Physidae",NA,NA,"2018-15ml-2","BXZ","15","Ethanol",0.91,"GOLF-B-05",-10.57,97.13,0.42,3.29,"Invertebrate",0.91,1668399,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,10.582,-0.565333333
"843","Logging","Mid","Invertebrate","Autochthonous",2018,7,"NO",NA,"48.740588","-114.130029",5,NA,NA,"Filterer-collector-phytoplanktivore","Zooplankton tow","Zooplankton","Pelagic forage Invertebrate","Zooplankton","Zooplankton",NA,NA,"2018-50ml-2","JZB","50","Water",0.934,"GOLF-C-02",-30.86,288.24,2.28,27.77,"Plant",0.934,1668408,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-9.708,1.294666667
"844","Logging","Mid","Periphyton","Autochthonous",2018,6,"NO",7,"48.749625","-114.087415",1.5,NA,NA,NA,"Brush","Periphyton","Littoral forage Periphyton","Periphyton","Periphyton",NA,NA,"2018-15ml-2","BWA","15","Water",10.021,"GOLF-B-07",-20.74,355.45,-1.41,26.33,"Plant",10.021,1668401,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,0.412,-2.395333333
"845","Logging","Mid","Fish","Autochthonous",2019,8,"NO",NA,"48.735221","-114.137075",NA,1,1,NA,"Electrofisher","Slimy sculpin","Generalist fish","Slimy sculpin","Cottus cognatus",55,4.1,"2019-AD","ADBF","1.5","Ethanol",0.96,"OSCAR-C-03",-29.07,660.68,5.79,92.75,"Fish",0.96,1669177,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-7.918,4.804666667
"846","Logging","Mid","Invertebrate","Autochthonous",2018,7,"YES",4,"48.768725","-114.029573",0.5,1,1,"Engulfer-predator-shredder-herbivore-collector-gatherer","D-net","Leptoceridae","Littoral forage Invertebrate","Longhorned case maker caddisfly","Leptoceridae",NA,NA,"2018-K","KBN","1.5","Ethanol",0.669,"ECHO-G-12",-24.43,314.36,1.82,76.23,"Invertebrate",0.669,1668274,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-3.278,0.834666667
"847","Logging","Mid","Invertebrate","Autochthonous",2018,7,"YES",3,"48.769206","-114.045795",1,1,1,"Engulfer-predator-shredder-herbivore-collector-gatherer","D-net","Leptoceridae","Littoral forage Invertebrate","Longhorned case maker caddisfly","Leptoceridae",NA,NA,"2018-K","KAW","1.5","Ethanol",0.412,"ECHO-G-10",-14.73,185.77,1.17,50.58,"Invertebrate",0.412,1668272,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,6.422,0.184666667
"848","Logging","Mid","Fish","Autochthonous",2018,6,"NO",NA,NA,NA,NA,1,1,NA,"Mono gill net USGS","Lake trout","Lake trout","Lake trout","Salvelinus namaycush",221,69,"2018-A","ABW","1.5","Ethanol",0.97,"BRAVO-E-03",-24.67,484.85,11.97,145.4,"Fish",0.97,1667953,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-3.518,10.98466667
"849","McDonald","Late","Invertebrate","Autochthonous",2019,7,"YES",4,"48.563038","-113.929228",1.5,5,5,"Collector-gatherer-shredder-detritivore","D-net","Gammaridae","Littoral forage Invertebrate","Scud","Gammaridae",NA,NA,"2019-PA","PADD","1.5","Ethanol",1.075,"PAPA-E-07",-19.87,363.48,1.09,89.92,"Invertebrate",1.075,1669301,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,4.565625,0.4225
"850","McDonald","Late","Fish","Autochthonous",2019,7,"NO",NA,"","",NA,1,1,NA,"Multi filament gill net USNPS","Peamouth","Pelagic forage fish","Peamouth","Mylochelius caurinus",164,41.7,"2019-RA","RABF","1.5","Ethanol",1.088,"QUEBEC-G-07",-23.59,512.67,7.18,162.28,"Fish",1.088,1669421,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,0.845625,6.5125
"851","McDonald","Late","Fish","Autochthonous",2019,7,"NO",NA,NA,NA,NA,1,1,NA,"Multi filament gill net USNPS","Longnose sucker","Littoral forage fish","Longnose sucker","Catostomus catostomus",392,656.4,"2019-RA","RACQ","1.5","Ethanol",1.055,"QUEBEC-C-05",-28.47,487.58,7.63,154.71,"Fish",1.055,1669371,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-4.034375,6.9625
"852","McDonald","Late","Invertebrate","Autochthonous",2019,7,"NO",NA,"48.530111","-113.990586",30,6,6,"Collector-gatherer-scraper","Dredge","Chironomidae_r","Profundal forage Invertebrate","Midge","Chironomidae_r",NA,NA,"2019-IA","IACP","1.5","Ethanol",1.022,"NOVEMBER-D-10",-37.5,332.62,3.15,68.9,"Invertebrate",1.022,1669100,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-13.064375,2.4825
"853","McDonald","Late","Invertebrate","Autochthonous",2019,7,"NO",NA,"48.530111","-113.990586",30,6,6,"Collector-gatherer-scraper","Dredge","Chironomidae_r","Profundal forage Invertebrate","Midge","Chironomidae_r",NA,NA,"2019-IA","IACP","1.5","Ethanol",1.009,"NOVEMBER-D-11",-38.38,337.48,2.63,74.27,"Invertebrate",1.009,1669101,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-13.944375,1.9625
